arraySize,keyComparisons
1000,8722
1500,13954
2000,19455
2500,25124
3000,30967
3500,36829
4000,42780
4500,48965
5000,55250
5500,61527
6000,67907
6500,74180
7000,80707
7500,87179
8000,93665
8500,100268
9000,106943
9500,113649
10000,120458
15000,189357
20000,260789
25000,334198
30000,408546
35000,484548
40000,561803
45000,639712
50000,718492
55000,797498
60000,877031
65000,957123
70000,1039041
75000,1121072
80000,1203643
85000,1286488
90000,1369468
95000,1452528
100000,1536162
