S,keyComparisons0,keyComparisons1,keyComparisons2,keyComparisons3,keyComparisons4,keyComparisons5,keyComparisons6,keyComparisons7,keyComparisons8,keyComparisons9,keyComparisons10,keyComparisons11,keyComparisons12,keyComparisons13,keyComparisons14,keyComparisons15,keyComparisons16,keyComparisons17,keyComparisons18,keyComparisons19,keyComparisons20,keyComparisons21,keyComparisons22,keyComparisons23,keyComparisons24,keyComparisons25,keyComparisons26,keyComparisons27,keyComparisons28,keyComparisons29,keyComparisons30,keyComparisons31,keyComparisons32,keyComparisons33,keyComparisons34,keyComparisons35,keyComparisons36,keyComparisons37,keyComparisons38,keyComparisons39,keyComparisons40,keyComparisons41,keyComparisons42,keyComparisons43,keyComparisons44,keyComparisons45,keyComparisons46,keyComparisons47,keyComparisons48,keyComparisons49,keyComparisons50,keyComparisons51,keyComparisons52,keyComparisons53,keyComparisons54,keyComparisons55,keyComparisons56,keyComparisons57,keyComparisons58,keyComparisons59,keyComparisons60,keyComparisons61,keyComparisons62,keyComparisons63,keyComparisons64,keyComparisons65,keyComparisons66,keyComparisons67,keyComparisons68,keyComparisons69,keyComparisons70,keyComparisons71,keyComparisons72,keyComparisons73,keyComparisons74,keyComparisons75,keyComparisons76,keyComparisons77,keyComparisons78,keyComparisons79,keyComparisons80,keyComparisons81,keyComparisons82,keyComparisons83,keyComparisons84,keyComparisons85,keyComparisons86,keyComparisons87,keyComparisons88,keyComparisons89,keyComparisons90,keyComparisons91,keyComparisons92,keyComparisons93,keyComparisons94,keyComparisons95,keyComparisons96,keyComparisons97,keyComparisons98,keyComparisons99,S,Average
10,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,10,127028.45
11,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,11,127028.45
12,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,12,127028.45
13,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,13,127028.45
14,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,14,127028.45
15,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,15,127028.45
16,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,16,127028.45
17,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,17,127028.45
18,127111,126918,127103,126879,126993,127147,127076,127081,126956,127271,127101,127128,127189,126898,127139,126843,126990,126900,126998,126923,126881,126826,127157,126842,127002,127013,126893,126808,126978,127077,127147,127090,126743,126963,126970,127207,126940,127130,127217,127041,126668,127201,127095,127143,126924,127150,126943,127119,126712,127067,127080,127031,126889,126915,127291,126963,127208,127009,127159,127168,127243,126644,126803,127079,127060,126970,126806,126950,127034,126846,127096,127042,126838,127084,127046,127275,126750,127154,126815,127104,127297,126801,127083,127170,127284,126787,127048,127086,127226,127022,127165,126895,127125,126865,127290,127218,127125,127110,127185,127120,18,127028.45
19,134367,133787,134326,134200,134160,134474,134471,134186,134167,134463,134125,134443,134495,134051,134262,134101,133953,134353,133971,134291,133798,133933,134442,133862,134336,134251,134325,134228,134013,134738,134125,134685,133690,134200,134096,134157,134027,134109,134114,134263,134379,134392,134224,134428,133813,134365,134145,134488,133823,134166,134321,134073,133941,134221,134761,133963,134309,134179,134454,134209,134817,133625,134167,134314,134158,134396,134121,133848,134070,134179,134010,134358,134116,134358,134483,134591,134049,134273,133933,133880,134673,133990,134371,134582,134359,133817,134015,134190,134592,134463,134331,134116,134313,134082,134489,134537,134231,134332,134441,134599,19,134229.61
