S,keyComparisons0,keyComparisons1,keyComparisons2,keyComparisons3,keyComparisons4,keyComparisons5,keyComparisons6,keyComparisons7,keyComparisons8,keyComparisons9,keyComparisons10,keyComparisons11,keyComparisons12,keyComparisons13,keyComparisons14,keyComparisons15,keyComparisons16,keyComparisons17,keyComparisons18,keyComparisons19,keyComparisons20,keyComparisons21,keyComparisons22,keyComparisons23,keyComparisons24,keyComparisons25,keyComparisons26,keyComparisons27,keyComparisons28,keyComparisons29,keyComparisons30,keyComparisons31,keyComparisons32,keyComparisons33,keyComparisons34,keyComparisons35,keyComparisons36,keyComparisons37,keyComparisons38,keyComparisons39,keyComparisons40,keyComparisons41,keyComparisons42,keyComparisons43,keyComparisons44,keyComparisons45,keyComparisons46,keyComparisons47,keyComparisons48,keyComparisons49,keyComparisons50,keyComparisons51,keyComparisons52,keyComparisons53,keyComparisons54,keyComparisons55,keyComparisons56,keyComparisons57,keyComparisons58,keyComparisons59,keyComparisons60,keyComparisons61,keyComparisons62,keyComparisons63,keyComparisons64,keyComparisons65,keyComparisons66,keyComparisons67,keyComparisons68,keyComparisons69,keyComparisons70,keyComparisons71,keyComparisons72,keyComparisons73,keyComparisons74,keyComparisons75,keyComparisons76,keyComparisons77,keyComparisons78,keyComparisons79,keyComparisons80,keyComparisons81,keyComparisons82,keyComparisons83,keyComparisons84,keyComparisons85,keyComparisons86,keyComparisons87,keyComparisons88,keyComparisons89,keyComparisons90,keyComparisons91,keyComparisons92,keyComparisons93,keyComparisons94,keyComparisons95,keyComparisons96,keyComparisons97,keyComparisons98,keyComparisons99,,Average
10,19067572,19065388,19066382,19068712,19066798,19068351,19068395,19068651,19068859,19068450,19067736,19067914,19067643,19068710,19069031,19070056,19066605,19067663,19067517,19068358,19067592,19068322,19068220,19066993,19068057,19066754,19066861,19068079,19068228,19070120,19066777,19065982,19066814,19067162,19067368,19068000,19068380,19067709,19066999,19068422,19069674,19068692,19069373,19065860,19068775,19068531,19069916,19068258,19067338,19066772,19066400,19067119,19068016,19068528,19067306,19066964,19067433,19065816,19065662,19067596,19068110,19066526,19065037,19066247,19067764,19067323,19067664,19069220,19066778,19069435,19068662,19067485,19065070,19067954,19067519,19066781,19066731,19070718,19068230,19067694,19067790,19068350,19067417,19067179,19070617,19068080,19066622,19068647,19068595,19067484,19066642,19068067,19069579,19067492,19066369,19070162,19067053,19069610,19066901,19065279,,19067745.42
11,19067572,19065388,19066382,19068712,19066798,19068351,19068395,19068651,19068859,19068450,19067736,19067914,19067643,19068710,19069031,19070056,19066605,19067663,19067517,19068358,19067592,19068322,19068220,19066993,19068057,19066754,19066861,19068079,19068228,19070120,19066777,19065982,19066814,19067162,19067368,19068000,19068380,19067709,19066999,19068422,19069674,19068692,19069373,19065860,19068775,19068531,19069916,19068258,19067338,19066772,19066400,19067119,19068016,19068528,19067306,19066964,19067433,19065816,19065662,19067596,19068110,19066526,19065037,19066247,19067764,19067323,19067664,19069220,19066778,19069435,19068662,19067485,19065070,19067954,19067519,19066781,19066731,19070718,19068230,19067694,19067790,19068350,19067417,19067179,19070617,19068080,19066622,19068647,19068595,19067484,19066642,19068067,19069579,19067492,19066369,19070162,19067053,19069610,19066901,19065279,,19067745.42
12,19067572,19065388,19066382,19068712,19066798,19068351,19068395,19068651,19068859,19068450,19067736,19067914,19067643,19068710,19069031,19070056,19066605,19067663,19067517,19068358,19067592,19068322,19068220,19066993,19068057,19066754,19066861,19068079,19068228,19070120,19066777,19065982,19066814,19067162,19067368,19068000,19068380,19067709,19066999,19068422,19069674,19068692,19069373,19065860,19068775,19068531,19069916,19068258,19067338,19066772,19066400,19067119,19068016,19068528,19067306,19066964,19067433,19065816,19065662,19067596,19068110,19066526,19065037,19066247,19067764,19067323,19067664,19069220,19066778,19069435,19068662,19067485,19065070,19067954,19067519,19066781,19066731,19070718,19068230,19067694,19067790,19068350,19067417,19067179,19070617,19068080,19066622,19068647,19068595,19067484,19066642,19068067,19069579,19067492,19066369,19070162,19067053,19069610,19066901,19065279,,19067745.42
13,19067572,19065388,19066382,19068712,19066798,19068351,19068395,19068651,19068859,19068450,19067736,19067914,19067643,19068710,19069031,19070056,19066605,19067663,19067517,19068358,19067592,19068322,19068220,19066993,19068057,19066754,19066861,19068079,19068228,19070120,19066777,19065982,19066814,19067162,19067368,19068000,19068380,19067709,19066999,19068422,19069674,19068692,19069373,19065860,19068775,19068531,19069916,19068258,19067338,19066772,19066400,19067119,19068016,19068528,19067306,19066964,19067433,19065816,19065662,19067596,19068110,19066526,19065037,19066247,19067764,19067323,19067664,19069220,19066778,19069435,19068662,19067485,19065070,19067954,19067519,19066781,19066731,19070718,19068230,19067694,19067790,19068350,19067417,19067179,19070617,19068080,19066622,19068647,19068595,19067484,19066642,19068067,19069579,19067492,19066369,19070162,19067053,19069610,19066901,19065279,,19067745.42
14,19067572,19065388,19066382,19068712,19066798,19068351,19068395,19068651,19068859,19068450,19067736,19067914,19067643,19068710,19069031,19070056,19066605,19067663,19067517,19068358,19067592,19068322,19068220,19066993,19068057,19066754,19066861,19068079,19068228,19070120,19066777,19065982,19066814,19067162,19067368,19068000,19068380,19067709,19066999,19068422,19069674,19068692,19069373,19065860,19068775,19068531,19069916,19068258,19067338,19066772,19066400,19067119,19068016,19068528,19067306,19066964,19067433,19065816,19065662,19067596,19068110,19066526,19065037,19066247,19067764,19067323,19067664,19069220,19066778,19069435,19068662,19067485,19065070,19067954,19067519,19066781,19066731,19070718,19068230,19067694,19067790,19068350,19067417,19067179,19070617,19068080,19066622,19068647,19068595,19067484,19066642,19068067,19069579,19067492,19066369,19070162,19067053,19069610,19066901,19065279,,19067745.42
15,19884385,19880592,19880703,19882888,19880183,19883946,19881790,19883096,19883322,19882613,19885211,19882393,19882788,19881335,19886124,19888217,19879969,19884305,19882638,19882327,19882137,19885207,19884358,19882797,19885880,19879099,19882607,19881817,19886169,19884022,19885269,19881087,19880794,19879240,19879301,19883657,19884739,19884645,19880069,19884134,19884747,19885283,19885823,19879498,19881787,19883833,19880678,19880116,19883855,19880504,19880977,19879307,19883757,19882818,19880763,19880176,19883692,19877670,19878999,19881509,19881773,19881440,19881730,19882964,19886340,19881785,19881787,19885323,19879404,19885807,19883750,19881113,19882269,19883254,19879019,19881416,19881511,19885899,19882247,19880945,19883689,19880590,19882231,19882682,19889605,19882803,19883730,19881742,19881670,19881980,19881971,19885425,19883291,19880167,19882547,19888560,19884214,19880994,19882293,19880740,,19882623.45
16,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
17,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
18,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
19,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
