S,keyComparisons0,keyComparisons1,keyComparisons2,keyComparisons3,keyComparisons4,keyComparisons5,keyComparisons6,keyComparisons7,keyComparisons8,keyComparisons9,keyComparisons10,keyComparisons11,keyComparisons12,keyComparisons13,keyComparisons14,keyComparisons15,keyComparisons16,keyComparisons17,keyComparisons18,keyComparisons19,keyComparisons20,keyComparisons21,keyComparisons22,keyComparisons23,keyComparisons24,keyComparisons25,keyComparisons26,keyComparisons27,keyComparisons28,keyComparisons29,keyComparisons30,keyComparisons31,keyComparisons32,keyComparisons33,keyComparisons34,keyComparisons35,keyComparisons36,keyComparisons37,keyComparisons38,keyComparisons39,keyComparisons40,keyComparisons41,keyComparisons42,keyComparisons43,keyComparisons44,keyComparisons45,keyComparisons46,keyComparisons47,keyComparisons48,keyComparisons49,keyComparisons50,keyComparisons51,keyComparisons52,keyComparisons53,keyComparisons54,keyComparisons55,keyComparisons56,keyComparisons57,keyComparisons58,keyComparisons59,keyComparisons60,keyComparisons61,keyComparisons62,keyComparisons63,keyComparisons64,keyComparisons65,keyComparisons66,keyComparisons67,keyComparisons68,keyComparisons69,keyComparisons70,keyComparisons71,keyComparisons72,keyComparisons73,keyComparisons74,keyComparisons75,keyComparisons76,keyComparisons77,keyComparisons78,keyComparisons79,keyComparisons80,keyComparisons81,keyComparisons82,keyComparisons83,keyComparisons84,keyComparisons85,keyComparisons86,keyComparisons87,keyComparisons88,keyComparisons89,keyComparisons90,keyComparisons91,keyComparisons92,keyComparisons93,keyComparisons94,keyComparisons95,keyComparisons96,keyComparisons97,keyComparisons98,keyComparisons99,,Average
20,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
21,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
22,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
23,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
24,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
25,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
26,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
27,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
28,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
29,20222623,20216990,20219278,20220791,20217016,20221950,20218939,20217952,20220364,20217110,20221898,20219343,20220117,20219250,20223522,20225937,20218649,20219852,20219492,20218709,20219264,20219442,20221150,20219062,20223254,20215550,20219262,20217042,20225583,20220209,20219730,20217112,20217561,20216582,20216274,20221447,20221950,20218180,20216487,20221618,20222687,20222304,20221889,20214853,20218498,20220376,20217566,20216252,20222333,20217383,20217256,20216444,20219699,20217494,20216029,20215302,20221495,20213482,20215365,20217757,20218979,20218287,20218133,20220792,20222975,20217050,20218425,20219208,20215724,20222658,20222086,20215510,20218363,20219758,20215545,20219081,20217260,20223627,20218341,20217494,20220623,20216970,20220105,20220897,20227127,20219555,20221816,20218414,20217840,20218418,20218901,20220184,20219611,20216407,20220495,20225585,20220253,20214513,20217570,20217395,,20219229.8
30,21595655,21583923,21590496,21598955,21592690,21600654,21595012,21598625,21589825,21591514,21595786,21598537,21596097,21596294,21602293,21597997,21590052,21593246,21593965,21590399,21600021,21598841,21595350,21586955,21597647,21590677,21590705,21596620,21596270,21592552,21596246,21596087,21593447,21593851,21593674,21598678,21599758,21595583,21592153,21597634,21599674,21596042,21594804,21583143,21597913,21593731,21589103,21586996,21594203,21596004,21594569,21596057,21592079,21594695,21595698,21588732,21597209,21589031,21590531,21593238,21592258,21592689,21586307,21599052,21600407,21595141,21590235,21590344,21590445,21600770,21600236,21587576,21601279,21593100,21592591,21594490,21588880,21602252,21589621,21592398,21603137,21589614,21595468,21598732,21601154,21600345,21603466,21596763,21593224,21589469,21592760,21596881,21598608,21588518,21592432,21606864,21600344,21586531,21593447,21592667,,21594587.11
31,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
32,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
33,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
34,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
35,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
36,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
37,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
38,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
39,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
40,23180984,23174460,23177003,23180166,23181320,23184362,23179157,23186493,23179020,23173597,23181810,23188790,23183465,23179987,23188259,23180415,23175148,23180989,23182302,23176559,23185661,23190411,23179909,23171967,23180500,23179143,23173960,23183655,23181717,23180108,23180635,23179013,23179928,23174637,23180100,23182562,23183892,23179632,23182061,23184051,23183897,23178276,23180162,23167807,23179927,23181273,23176744,23173892,23182488,23179222,23178737,23180933,23180226,23179008,23179802,23174667,23185276,23174082,23176358,23181477,23178709,23184699,23177068,23183931,23190235,23175343,23173309,23180875,23174155,23186017,23191671,23175748,23186929,23184124,23175808,23186538,23177461,23192240,23175846,23177008,23192096,23174416,23180759,23188083,23188968,23182893,23186552,23184115,23183198,23178272,23185375,23180788,23191426,23173354,23177064,23196594,23183227,23168851,23179554,23175558,,23180809.39
