S,keyComparisons0
0,8724
1,8724
2,8724
3,8718
4,8773
5,8773
6,8773
7,8805
8,9137
9,9137
10,9137
11,9137
12,9137
13,9137
14,9137
15,9510
16,10325
17,10325
18,10325
19,10325
20,10325
21,10325
22,10325
23,10325
24,10325
25,10325
26,10325
27,10325
28,10325
29,10325
30,10325
31,12667
32,13474
33,13474
34,13474
35,13474
36,13474
37,13474
38,13474
39,13474
40,13474
