S,keyComparisons0
0,120474
1,120474
2,120474
3,120471
4,120538
5,121560
6,121560
7,121560
8,121560
9,122534
10,127160
11,127160
12,127160
13,127160
14,127160
15,127160
16,127160
17,127160
18,127160
19,134271
20,143770
21,143770
22,143770
23,143770
24,143770
25,143770
26,143770
27,143770
28,143770
29,143770
30,143770
31,143770
32,143770
33,143770
34,143770
35,143770
36,143770
37,143770
38,143770
39,180389
40,183258
