S,keyComparisons0,keyComparisons1,keyComparisons2,keyComparisons3,keyComparisons4,keyComparisons5,keyComparisons6,keyComparisons7,keyComparisons8,keyComparisons9,keyComparisons10,keyComparisons11,keyComparisons12,keyComparisons13,keyComparisons14,keyComparisons15,keyComparisons16,keyComparisons17,keyComparisons18,keyComparisons19,keyComparisons20,keyComparisons21,keyComparisons22,keyComparisons23,keyComparisons24,keyComparisons25,keyComparisons26,keyComparisons27,keyComparisons28,keyComparisons29,keyComparisons30,keyComparisons31,keyComparisons32,keyComparisons33,keyComparisons34,keyComparisons35,keyComparisons36,keyComparisons37,keyComparisons38,keyComparisons39,keyComparisons40,keyComparisons41,keyComparisons42,keyComparisons43,keyComparisons44,keyComparisons45,keyComparisons46,keyComparisons47,keyComparisons48,keyComparisons49,keyComparisons50,keyComparisons51,keyComparisons52,keyComparisons53,keyComparisons54,keyComparisons55,keyComparisons56,keyComparisons57,keyComparisons58,keyComparisons59,keyComparisons60,keyComparisons61,keyComparisons62,keyComparisons63,keyComparisons64,keyComparisons65,keyComparisons66,keyComparisons67,keyComparisons68,keyComparisons69,keyComparisons70,keyComparisons71,keyComparisons72,keyComparisons73,keyComparisons74,keyComparisons75,keyComparisons76,keyComparisons77,keyComparisons78,keyComparisons79,keyComparisons80,keyComparisons81,keyComparisons82,keyComparisons83,keyComparisons84,keyComparisons85,keyComparisons86,keyComparisons87,keyComparisons88,keyComparisons89,keyComparisons90,keyComparisons91,keyComparisons92,keyComparisons93,keyComparisons94,keyComparisons95,keyComparisons96,keyComparisons97,keyComparisons98,keyComparisons99,S,Average
0,8703,8714,8704,8697,8720,8713,8721,8719,8695,8691,8731,8698,8717,8687,8694,8723,8679,8703,8705,8702,8721,8722,8719,8716,8713,8695,8705,8709,8701,8738,8692,8709,8699,8733,8706,8721,8695,8710,8696,8706,8704,8726,8694,8687,8736,8736,8708,8720,8702,8733,8704,8724,8699,8716,8716,8705,8691,8682,8692,8710,8713,8719,8709,8709,8732,8691,8723,8715,8699,8721,8721,8744,8704,8720,8702,8737,8719,8713,8689,8737,8729,8714,8718,8701,8727,8688,8700,8658,8686,8698,8719,8702,8723,8703,8704,8716,8704,8707,8714,8748,0,8709.83
1,8703,8714,8704,8697,8720,8713,8721,8719,8695,8691,8731,8698,8717,8687,8694,8723,8679,8703,8705,8702,8721,8722,8719,8716,8713,8695,8705,8709,8701,8738,8692,8709,8699,8733,8706,8721,8695,8710,8696,8706,8704,8726,8694,8687,8736,8736,8708,8720,8702,8733,8704,8724,8699,8716,8716,8705,8691,8682,8692,8710,8713,8719,8709,8709,8732,8691,8723,8715,8699,8721,8721,8744,8704,8720,8702,8737,8719,8713,8689,8737,8729,8714,8718,8701,8727,8688,8700,8658,8686,8698,8719,8702,8723,8703,8704,8716,8704,8707,8714,8748,1,8709.83
2,8703,8714,8704,8697,8720,8713,8721,8719,8695,8691,8731,8698,8717,8687,8694,8723,8679,8703,8705,8702,8721,8722,8719,8716,8713,8695,8705,8709,8701,8738,8692,8709,8699,8733,8706,8721,8695,8710,8696,8706,8704,8726,8694,8687,8736,8736,8708,8720,8702,8733,8704,8724,8699,8716,8716,8705,8691,8682,8692,8710,8713,8719,8709,8709,8732,8691,8723,8715,8699,8721,8721,8744,8704,8720,8702,8737,8719,8713,8689,8737,8729,8714,8718,8701,8727,8688,8700,8658,8686,8698,8719,8702,8723,8703,8704,8716,8704,8707,8714,8748,2,8709.83
3,8705,8713,8706,8696,8721,8714,8720,8717,8697,8693,8733,8695,8712,8687,8692,8724,8683,8704,8704,8706,8719,8727,8716,8713,8714,8698,8707,8708,8697,8736,8688,8711,8702,8730,8708,8724,8691,8706,8699,8705,8704,8730,8698,8690,8739,8736,8705,8722,8702,8732,8702,8727,8699,8710,8715,8709,8688,8682,8699,8710,8712,8722,8707,8712,8727,8689,8723,8718,8702,8721,8726,8738,8705,8722,8705,8736,8721,8716,8687,8738,8731,8709,8713,8697,8727,8687,8705,8659,8683,8702,8718,8702,8717,8708,8706,8714,8705,8708,8712,8746,3,8709.96
4,8777,8776,8794,8767,8771,8788,8793,8769,8773,8719,8794,8743,8747,8754,8755,8755,8749,8800,8751,8754,8770,8793,8769,8759,8799,8726,8801,8767,8783,8766,8755,8758,8781,8772,8778,8801,8770,8758,8744,8779,8765,8759,8729,8783,8809,8776,8802,8785,8759,8780,8749,8795,8740,8732,8771,8751,8736,8757,8727,8780,8744,8783,8781,8797,8778,8751,8767,8780,8763,8786,8788,8787,8769,8766,8766,8792,8795,8750,8753,8775,8778,8771,8810,8738,8773,8737,8787,8720,8752,8751,8769,8759,8753,8767,8784,8750,8774,8787,8774,8781,4,8768.29
5,8777,8776,8794,8767,8771,8788,8793,8769,8773,8719,8794,8743,8747,8754,8755,8755,8749,8800,8751,8754,8770,8793,8769,8759,8799,8726,8801,8767,8783,8766,8755,8758,8781,8772,8778,8801,8770,8758,8744,8779,8765,8759,8729,8783,8809,8776,8802,8785,8759,8780,8749,8795,8740,8732,8771,8751,8736,8757,8727,8780,8744,8783,8781,8797,8778,8751,8767,8780,8763,8786,8788,8787,8769,8766,8766,8792,8795,8750,8753,8775,8778,8771,8810,8738,8773,8737,8787,8720,8752,8751,8769,8759,8753,8767,8784,8750,8774,8787,8774,8781,5,8768.29
6,8777,8776,8794,8767,8771,8788,8793,8769,8773,8719,8794,8743,8747,8754,8755,8755,8749,8800,8751,8754,8770,8793,8769,8759,8799,8726,8801,8767,8783,8766,8755,8758,8781,8772,8778,8801,8770,8758,8744,8779,8765,8759,8729,8783,8809,8776,8802,8785,8759,8780,8749,8795,8740,8732,8771,8751,8736,8757,8727,8780,8744,8783,8781,8797,8778,8751,8767,8780,8763,8786,8788,8787,8769,8766,8766,8792,8795,8750,8753,8775,8778,8771,8810,8738,8773,8737,8787,8720,8752,8751,8769,8759,8753,8767,8784,8750,8774,8787,8774,8781,6,8768.29
7,8834,8826,8838,8810,8831,8847,8841,8812,8813,8784,8835,8790,8779,8800,8793,8807,8785,8846,8792,8804,8806,8836,8836,8806,8860,8760,8863,8799,8820,8808,8801,8811,8838,8812,8826,8815,8836,8804,8782,8822,8806,8804,8765,8840,8853,8827,8860,8830,8808,8821,8784,8836,8780,8785,8820,8784,8769,8787,8764,8816,8805,8830,8824,8848,8821,8795,8808,8829,8818,8820,8836,8823,8819,8828,8811,8802,8850,8802,8819,8834,8827,8801,8865,8802,8816,8782,8825,8778,8797,8784,8803,8803,8817,8818,8832,8800,8821,8835,8822,8831,7,8814.28
8,9142,9156,9138,9134,9168,9188,9159,9119,9144,9144,9143,9122,9048,9086,9148,9116,9177,9141,9078,9172,9105,9156,9148,9157,9192,9052,9162,9140,9094,9099,9064,9167,9159,9160,9117,9157,9137,9134,9094,9127,9081,9131,9092,9205,9141,9121,9224,9199,9110,9147,9106,9141,9084,9083,9180,9047,9106,9114,9029,9069,9106,9093,9149,9141,9092,9129,9165,9150,9187,9114,9161,9124,9143,9087,9155,9074,9168,9110,9109,9100,9111,9135,9157,9082,9090,9057,9161,9153,9141,9095,9140,9078,9185,9186,9093,9158,9190,9179,9159,9164,8,9130.25
9,9142,9156,9138,9134,9168,9188,9159,9119,9144,9144,9143,9122,9048,9086,9148,9116,9177,9141,9078,9172,9105,9156,9148,9157,9192,9052,9162,9140,9094,9099,9064,9167,9159,9160,9117,9157,9137,9134,9094,9127,9081,9131,9092,9205,9141,9121,9224,9199,9110,9147,9106,9141,9084,9083,9180,9047,9106,9114,9029,9069,9106,9093,9149,9141,9092,9129,9165,9150,9187,9114,9161,9124,9143,9087,9155,9074,9168,9110,9109,9100,9111,9135,9157,9082,9090,9057,9161,9153,9141,9095,9140,9078,9185,9186,9093,9158,9190,9179,9159,9164,9,9130.25
